GEO.id,GEO.id2,GEO.display-label,HC03_EST_VC02
Id,Id2,Geography,Mean income (dollars); Estimate; All households
0500000US34005,34005,"Burlington County, New Jersey",108920
0500000US34007,34007,"Camden County, New Jersey",88529
0500000US34009,34009,"Cape May County, New Jersey",88474
0500000US34011,34011,"Cumberland County, New Jersey",70626
0500000US34013,34013,"Essex County, New Jersey",101639
0500000US34015,34015,"Gloucester County, New Jersey",101964
0500000US34017,34017,"Hudson County, New Jersey",98796
0500000US34019,34019,"Hunterdon County, New Jersey",144363
0500000US34021,34021,"Mercer County, New Jersey",116672
0500000US34023,34023,"Middlesex County, New Jersey",108201
0500000US34025,34025,"Monmouth County, New Jersey",132877
0500000US34027,34027,"Morris County, New Jersey",151054
0500000US34029,34029,"Ocean County, New Jersey",91689
0500000US34031,34031,"Passaic County, New Jersey",85407
0500000US34033,34033,"Salem County, New Jersey",77192
0500000US34035,34035,"Somerset County, New Jersey",149999
0500000US34037,34037,"Sussex County, New Jersey",105432
0500000US34039,34039,"Union County, New Jersey",111862
0500000US34041,34041,"Warren County, New Jersey",95224
0500000US35001,35001,"Bernalillo County, New Mexico",69815
0500000US35005,35005,"Chaves County, New Mexico",60457
0500000US35013,35013,"Doa Ana County, New Mexico",53825
0500000US35025,35025,"Lea County, New Mexico",69876
0500000US35031,35031,"McKinley County, New Mexico",50375
0500000US35035,35035,"Otero County, New Mexico",58456
0500000US35043,35043,"Sandoval County, New Mexico",69183
0500000US35045,35045,"San Juan County, New Mexico",58947
0500000US35049,35049,"Santa Fe County, New Mexico",82225
0500000US35061,35061,"Valencia County, New Mexico",58910
0500000US36001,36001,"Albany County, New York",89087
0500000US36005,36005,"Bronx County, New York",55423
0500000US36007,36007,"Broome County, New York",65434
0500000US36009,36009,"Cattaraugus County, New York",59210
0500000US36011,36011,"Cayuga County, New York",74654
0500000US36013,36013,"Chautauqua County, New York",60875
0500000US36015,36015,"Chemung County, New York",64774
0500000US36019,36019,"Clinton County, New York",71257
0500000US36027,36027,"Dutchess County, New York",101031
0500000US36029,36029,"Erie County, New York",74591
0500000US36045,36045,"Jefferson County, New York",59281
0500000US36047,36047,"Kings County, New York",87312
0500000US36051,36051,"Livingston County, New York",69213
0500000US36053,36053,"Madison County, New York",71721
0500000US36055,36055,"Monroe County, New York",77565
0500000US36059,36059,"Nassau County, New York",145706
0500000US36061,36061,"New York County, New York",151745
0500000US36063,36063,"Niagara County, New York",70904
0500000US36065,36065,"Oneida County, New York",68425
0500000US36067,36067,"Onondaga County, New York",77676
0500000US36069,36069,"Ontario County, New York",84806
0500000US36071,36071,"Orange County, New York",98042
0500000US36075,36075,"Oswego County, New York",70522
0500000US36079,36079,"Putnam County, New York",132193
0500000US36081,36081,"Queens County, New York",84628
0500000US36083,36083,"Rensselaer County, New York",82067
0500000US36085,36085,"Richmond County, New York",100248
0500000US36087,36087,"Rockland County, New York",118472
0500000US36089,36089,"St. Lawrence County, New York",62436
