GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC03_EST_VC02,HC05_EST_VC02,HC01_EST_VC06,HC01_EST_VC08,HC01_EST_VC15
Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Male; Estimate; Population 18 to 24 years,Female; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Graduate or professional degree
0500000US37051,37051,"Cumberland County, North Carolina",44642,27172,17470,3002,205965,15764
0500000US37057,37057,"Davidson County, North Carolina",11244,5698,5546,680,117271,5967
0500000US37063,37063,"Durham County, North Carolina",30867,15196,15671,6327,215089,48427
0500000US37067,37067,"Forsyth County, North Carolina",36638,17778,18860,3473,252493,30799
0500000US37069,37069,"Franklin County, North Carolina",5942,3185,2757,669,45458,2806
0500000US37071,37071,"Gaston County, North Carolina",18254,9526,8728,912,152050,9648
0500000US37081,37081,"Guilford County, North Carolina",55504,26033,29471,5144,353213,43611
0500000US37085,37085,"Harnett County, North Carolina",12483,6392,6091,1298,85093,5866
0500000US37089,37089,"Henderson County, North Carolina",7638,3627,4011,423,85774,9718
0500000US37097,37097,"Iredell County, North Carolina",14501,7496,7005,1406,120071,9160
0500000US37101,37101,"Johnston County, North Carolina",14925,7902,7023,540,131290,7943
0500000US37109,37109,"Lincoln County, North Carolina",6235,3326,2909,300,58501,4170
0500000US37119,37119,"Mecklenburg County, North Carolina",96675,47550,49125,17557,722837,112492
0500000US37125,37125,"Moore County, North Carolina",6542,2683,3859,471,69500,11479
0500000US37127,37127,"Nash County, North Carolina",9298,4916,4382,807,63759,3908
0500000US37129,37129,"New Hanover County, North Carolina",27278,12733,14545,2860,157243,21847
0500000US37133,37133,"Onslow County, North Carolina",42611,31098,11513,450,103958,7508
0500000US37135,37135,"Orange County, North Carolina",25183,11252,13931,4002,91042,29060
0500000US37147,37147,"Pitt County, North Carolina",33274,15706,17568,3143,107663,13409
0500000US37151,37151,"Randolph County, North Carolina",10592,5654,4938,418,100654,3868
0500000US37155,37155,"Robeson County, North Carolina",13825,7266,6559,762,85616,4587
0500000US37157,37157,"Rockingham County, North Carolina",7926,4165,3761,216,64445,3321
0500000US37159,37159,"Rowan County, North Carolina",12497,6412,6085,558,96938,5663
0500000US37161,37161,"Rutherford County, North Carolina",5079,3069,2010,602,47441,3834
0500000US37171,37171,"Surry County, North Carolina",5571,2633,2938,261,51247,3130
0500000US37179,37179,"Union County, North Carolina",19389,10332,9057,1337,148919,15856
0500000US37183,37183,"Wake County, North Carolina",96931,48925,48006,19346,715898,142009
0500000US37191,37191,"Wayne County, North Carolina",12610,6524,6086,416,82342,4471
0500000US37193,37193,"Wilkes County, North Carolina",5055,2572,2483,294,49455,2298
0500000US37195,37195,"Wilson County, North Carolina",6774,3136,3638,581,55953,2368
0500000US38015,38015,"Burleigh County, North Dakota",7976,4024,3952,1193,64363,7269
0500000US38017,38017,"Cass County, North Dakota",25015,13118,11897,4158,113641,14570
0500000US38035,38035,"Grand Forks County, North Dakota",14278,7988,6290,1563,42280,5876
0500000US38101,38101,"Ward County, North Dakota",9806,5638,4168,954,43157,3802
0500000US39003,39003,"Allen County, Ohio",9623,5258,4365,338,69698,5385
0500000US39007,39007,"Ashtabula County, Ohio",7485,4016,3469,223,68620,2823
0500000US39009,39009,"Athens County, Ohio",20255,10278,9977,226,36600,6423
0500000US39013,39013,"Belmont County, Ohio",4532,2495,2037,523,50556,3073
0500000US39017,39017,"Butler County, Ohio",47101,23791,23310,3800,243633,26278
0500000US39023,39023,"Clark County, Ohio",12696,6089,6607,583,91675,8568
0500000US39025,39025,"Clermont County, Ohio",15774,7938,7836,1400,141285,13892
0500000US39029,39029,"Columbiana County, Ohio",8013,4372,3641,221,73982,2600
0500000US39035,39035,"Cuyahoga County, Ohio",110866,55795,55071,15136,876662,118134
0500000US39041,39041,"Delaware County, Ohio",15399,7813,7586,1124,131287,25502
0500000US39043,39043,"Erie County, Ohio",5683,2566,3117,810,53820,5125
0500000US39045,39045,"Fairfield County, Ohio",13602,7117,6485,1389,104026,9567
0500000US39049,39049,"Franklin County, Ohio",128174,63889,64285,19778,861624,124646
0500000US39055,39055,"Geauga County, Ohio",7763,4061,3702,747,64481,9787
0500000US39057,39057,"Greene County, Ohio",21522,10191,11331,2553,110558,21754
0500000US39061,39061,"Hamilton County, Ohio",75823,38424,37399,9782,550204,81454
0500000US39063,39063,"Hancock County, Ohio",6736,3208,3528,672,52117,5140
0500000US39081,39081,"Jefferson County, Ohio",5680,2644,3036,637,47705,2075
0500000US39085,39085,"Lake County, Ohio",17678,9275,8403,2533,165902,16576
0500000US39089,39089,"Licking County, Ohio",14700,7477,7223,789,118584,9657
0500000US39093,39093,"Lorain County, Ohio",26655,14339,12316,2193,212692,17114
0500000US39095,39095,"Lucas County, Ohio",38884,19585,19299,4147,292621,29618
0500000US39099,39099,"Mahoning County, Ohio",19769,10190,9579,2067,164042,12192
0500000US39101,39101,"Marion County, Ohio",4872,2853,2019,281,46643,3204
0500000US39103,39103,"Medina County, Ohio",13740,7084,6656,1677,124238,13760
0500000US39109,39109,"Miami County, Ohio",7343,3853,3490,779,73618,6569
0500000US39113,39113,"Montgomery County, Ohio",48154,24093,24061,4563,366020,41573
0500000US39119,39119,"Muskingum County, Ohio",7660,3956,3704,240,58848,3411
0500000US39133,39133,"Portage County, Ohio",26948,12419,14529,2880,104615,12255
0500000US39139,39139,"Richland County, Ohio",9791,5353,4438,482,84550,4286
0500000US39141,39141,"Ross County, Ohio",6367,3637,2730,107,54434,3473
0500000US39145,39145,"Scioto County, Ohio",6497,3463,3034,269,53141,4449
0500000US39151,39151,"Stark County, Ohio",32427,16392,16035,2535,259924,20602
0500000US39153,39153,"Summit County, Ohio",46446,23554,22892,4808,380675,44910
0500000US39155,39155,"Trumbull County, Ohio",15364,8083,7281,976,144108,8950
0500000US39157,39157,"Tuscarawas County, Ohio",7154,3437,3717,209,63972,3269
0500000US39165,39165,"Warren County, Ohio",17059,8741,8318,1752,154438,25110
0500000US39169,39169,"Wayne County, Ohio",11259,5674,5585,1143,76595,6368
0500000US39173,39173,"Wood County, Ohio",23023,11250,11773,3632,81051,10730
0500000US40017,40017,"Canadian County, Oklahoma",11566,5967,5599,1453,91884,6669
0500000US40027,40027,"Cleveland County, Oklahoma",40270,20974,19296,4198,178227,21376
0500000US40031,40031,"Comanche County, Oklahoma",16472,10349,6123,1277,76203,7839
0500000US40037,40037,"Creek County, Oklahoma",6097,3291,2806,286,48317,2596
